baseline,optimised
-81.889275,-83.92396
-81.94744,-70.31729
-81.96213,-70.17973
-81.9714,-70.18063
-81.97803,-70.17361
-81.984276,-70.17449
-81.98975,-70.17513
-81.99411,-70.16997
-81.9877,-70.17023
-81.97838,-70.17307
-81.676445,-70.2634
-83.82964,-111.30847
-83.829796,-111.357544
-83.83347,-111.371826
-83.83968,-111.33786
-83.84022,-111.296104
-83.85324,-111.296936
-83.85433,-111.27279
-83.837,-111.27415
-83.84976,-111.310326
-83.83044,-104.606575
-82.02587,-70.18105
-82.013954,-70.182686
-82.02225,-70.181114
-82.01403,-70.18342
-81.99087,-70.179054
-81.979454,-70.18624
-81.98154,-70.18987
-81.99175,-70.19291
-82.00128,-70.179756
-82.00611,-70.30084
-83.92325,-111.404015
-83.92712,-111.39213
-83.92487,-111.39496
-83.913666,-111.40011
-83.892456,-111.401985
-83.8977,-111.427795
-83.91067,-111.4256
-83.92016,-111.41278
-83.92073,-111.4137
-111.4112,-83.803795
-81.98465,-70.18281
-81.97948,-70.18707
-81.97171,-70.18882
-81.97378,-70.179955
-81.982414,-70.1757
-81.98478,-70.174065
-81.98706,-70.175415
-81.98769,-70.17483
-81.98792,-70.17973
-81.84579,-70.3244
-83.796776,-111.34595
-83.80164,-111.363014
-83.81017,-111.34772
-83.81073,-111.35572
-83.81359,-111.33065
-83.81272,-111.32038
-83.80181,-111.36328
-83.79769,-111.39468
-83.79423,-111.37441
-83.792435,-111.38546
-81.98346,-70.16723
-81.983215,-70.17286
-81.98191,-70.17215
-81.98429,-70.17068
-81.98562,-70.177155
-81.97818,-70.189
-81.979095,-70.20113
-81.98757,-70.203445
-81.987946,-70.208916
-81.986115,-70.20527
-83.801125,-111.244995
-83.79823,-111.297356
-83.78954,-111.29285
-83.788765,-111.2204
-83.79441,-111.26342
-83.79705,-111.283936
-83.80096,-111.282776
-83.806755,-111.288
-83.79853,-111.29064
-111.28985,-83.71429
-81.9589,-70.21417
-81.96078,-70.21395
-81.96359,-70.20837
-81.96819,-70.21042
-81.96055,-70.207634
-81.9635,-70.21096
-81.96597,-70.208565
-81.95987,-70.216736
-81.96281,-70.21749
-81.96106,-70.21165
-83.78448,-111.25991
-83.78363,-111.332825
-83.78561,-111.34015
-83.780556,-111.350075
-83.77819,-111.34789
-83.78103,-111.26358
-83.77874,-111.17685
-83.77731,-111.16113
-83.782295,-111.24517
-83.78994,-111.3194
-81.96923,-70.213806
-81.96844,-70.210785
-81.965065,-70.2123
-81.96587,-70.21665
-81.964516,-70.222435
-81.96475,-70.21984
-81.962975,-70.22073
-81.96801,-70.21615
-81.976555,-70.211845
-81.73645,-70.63894
-83.77519,-111.24701
-83.753654,-111.246315
-83.72925,-111.16825
-83.70829,-111.105934
-83.700615,-111.08008
-83.70139,-111.11857
-83.69693,-111.19558
-83.6937,-111.21938
-83.70108,-111.25269
